,how_many,0.0,0.001,5.0,15.001
9661,25,0,1,0,0
9673,25,0,1,0,0
9692,12,1,0,0,0
9706,15,1,0,0,0
9729,6,1,0,0,0
9736,12,1,0,0,0
9761,2,1,0,0,0
9946,4,1,0,0,0
10004,2,0,0,1,0
10019,1,1,0,0,0
10177,1,0,1,0,0
10584,2,0,0,0,1
10598,3,0,0,0,1
10683,1,1,0,0,0
10711,17,1,0,0,0
10714,8,0,0,0,0
10721,32,0,0,0,0
10845,17,0,0,0,1
10854,23,0,0,0,1
10869,2,0,0,0,1
10873,1,0,0,0,1
10883,2,0,0,0,1
10894,4,0,0,0,1
10903,19,0,0,0,1
10911,41,0,0,0,1
10930,2,0,0,0,1
10941,4,0,1,0,0
10957,15,1,0,0,0
11351,5,0,0,0,1
11354,18,0,0,0,1
11361,16,0,0,0,1
11371,21,0,0,0,1
11377,15,0,0,0,1
11383,18,0,0,0,1
11387,30,0,0,0,1
11400,35,0,0,0,1
11407,17,0,0,0,0
11413,9,0,1,0,0
11421,23,1,0,0,0
11430,20,1,0,0,0
11439,2,1,0,0,0
11455,1,1,0,0,0
11500,1,0,0,1,0
11512,14,0,0,1,0
11520,28,0,0,0,1
11532,14,0,0,0,1
11548,16,0,0,1,0
11553,28,1,0,0,0
11646,9,0,0,0,1
11657,1,0,0,0,1
11679,21,0,0,0,1
11704,12,0,0,0,1
11705,9,0,0,0,1
11708,10,0,0,0,1
11712,10,0,0,0,1
11717,1,1,0,0,0
12040,1,0,0,0,1
12150,1,0,0,1,0
12181,16,0,0,0,1
12186,16,0,0,0,1
12197,14,0,0,0,1
12210,34,0,0,0,1
12220,37,0,0,0,1
12229,59,0,0,0,1
12235,57,0,0,0,1
12249,54,0,0,0,1
12259,30,0,0,0,1
12269,63,0,0,0,1
12284,39,0,0,0,1
12291,14,0,0,0,1
12305,17,0,0,1,0
12319,48,0,1,0,0
12336,2,0,1,0,0
12341,27,0,0,1,0
12361,2,0,1,0,0
12373,1,1,0,0,0
12495,3,0,0,1,0
12528,1,0,0,0,1
12547,1,1,0,0,0
12568,3,1,0,0,0
12695,12,0,0,0,1
12701,13,0,0,1,0
12717,15,0,0,1,0
12721,19,0,0,1,0
12728,23,0,0,1,0
12745,25,0,0,0,1
12750,25,0,0,0,1
12762,18,0,0,1,0
12767,20,0,0,1,0
12783,20,0,0,0,1
12789,20,0,0,0,1
12802,24,0,0,0,1
12810,15,0,0,1,0
12821,30,0,1,0,0
12824,9,0,1,0,0
12836,4,1,0,0,0
12923,1,1,0,0,0
13022,1,0,0,0,1
13034,4,0,0,0,1
13040,14,0,0,0,1
13050,44,0,0,0,1
13056,38,0,0,0,1
13063,45,0,0,0,1
13072,45,0,0,0,1
13077,41,0,0,0,1
13086,61,0,0,0,1
13095,90,0,0,0,1
13103,43,0,0,0,1
13111,70,0,0,0,1
13117,87,0,0,0,1
13123,76,0,0,0,1
13129,96,0,0,0,1
13135,144,0,0,0,1
13142,46,0,0,0,1
13152,46,0,0,0,1
13157,15,0,0,0,1
13166,126,0,0,0,1
13168,22,0,0,0,1
13176,10,0,0,0,1
13178,5,0,0,1,0
13182,3,0,0,1,0
13187,4,0,0,1,0
13617,16,0,0,0,1
13632,13,0,0,0,1
13636,12,0,0,0,0
13643,8,0,1,0,0
13651,4,1,0,0,0
13658,3,0,0,0,0
13754,15,0,0,1,0
13767,40,0,0,0,1
13812,16,0,1,0,0
13817,28,0,0,1,0
13830,26,0,0,0,0
13833,48,0,0,1,0
13844,60,0,1,0,0
13860,60,0,0,1,0
13862,60,0,1,0,0
13875,40,0,1,0,0
13883,28,1,0,0,0
13891,10,1,0,0,0
13898,8,1,0,0,0
13910,6,1,0,0,0
14898,1,0,1,0,0
14919,1,0,0,1,0
14929,19,0,0,1,0
14939,4,0,0,1,0
14948,19,0,0,1,0
14955,13,0,0,1,0
14963,28,0,0,1,0
14972,30,0,0,1,0
14981,17,0,0,1,0
14989,39,0,0,0,1
14997,30,0,0,0,1
15007,10,0,0,1,0
15016,41,0,0,1,0
15024,9,0,0,1,0
15034,8,0,1,0,0
15042,7,0,1,0,0
15051,42,0,1,0,0
15061,50,1,0,0,0
15067,5,1,0,0,0
15230,1,1,0,0,0
15267,20,1,0,0,0
15281,40,1,0,0,0
15296,1,1,0,0,0
15335,2,1,0,0,0
15382,1,0,0,0,1
15417,6,0,0,1,0
15791,2,0,0,0,1
15797,1,0,0,0,1
15811,1,0,0,0,1
15824,1,0,0,0,1
15844,2,1,0,0,0
15969,8,0,0,1,0
15988,10,0,0,0,1
15999,8,0,0,0,1
16049,8,1,0,0,0
16227,10,0,1,0,0
16239,5,0,0,1,0
16247,15,0,0,1,0
16261,20,0,0,1,0
16275,4,0,0,1,0
16282,18,0,0,1,0
16297,2,0,0,1,0
16506,1,0,0,0,1
16532,2,0,1,0,0
16652,3,1,0,0,0
16667,2,0,1,0,0
16726,1,0,1,0,0
16747,10,0,0,1,0
16759,20,0,0,1,0
16765,28,0,0,1,0
16782,37,0,0,1,0
16792,53,0,0,1,0
16801,43,0,0,1,0
16811,49,0,0,0,1
16821,67,0,0,0,1
16833,54,0,0,1,0
16856,7,1,0,0,0
16886,1,0,1,0,0
16958,10,0,1,0,0
16964,10,0,1,0,0
16975,21,0,0,1,0
16979,22,0,0,1,0
16989,26,0,0,1,0
16996,15,0,0,1,0
17009,15,0,0,1,0
17018,22,0,0,1,0
17024,8,0,0,0,1
17038,11,0,0,0,1
17042,13,0,0,0,1
17051,25,0,0,0,1
17057,24,0,0,0,1
17066,13,0,0,0,1
17077,29,0,0,1,0
17087,15,0,0,1,0
17100,26,1,0,0,0
17107,126,1,0,0,0
17127,28,1,0,0,0
17133,5,1,0,0,0
17162,2,1,0,0,0
17251,12,0,0,1,0
17260,18,0,0,1,0
17264,40,0,0,0,1
17272,40,0,0,0,1
17328,60,0,0,0,1
17331,90,0,0,0,1
17342,100,0,0,0,1
17349,30,0,0,0,1
17660,30,0,1,0,0
17700,17,1,0,0,0
17715,4,0,0,0,1
17735,4,0,0,0,1
17736,2,0,0,0,1
17785,20,0,0,0,1
17797,7,1,0,0,0
17876,4,0,0,1,0
17898,5,0,0,1,0
17906,3,0,0,0,0
17918,1,0,1,0,0
17932,10,0,0,1,0
18068,1,0,1,0,0
18077,2,0,1,0,0
18261,2,0,0,1,0
18279,10,0,0,1,0
18449,21,0,0,0,1
18458,20,0,0,0,1
18471,25,0,0,0,1
18478,15,0,0,0,1
18486,15,0,0,0,1
18494,4,0,0,0,1
18502,8,0,0,0,1
18511,8,0,0,0,1
18522,4,1,0,0,0
18551,2,1,0,0,0
18679,2,0,0,1,0
18682,15,0,0,0,1
18696,14,0,0,0,1
18710,7,0,0,0,1
18722,20,0,0,0,1
18732,12,0,0,0,1
18744,8,0,0,0,1
18754,60,0,0,0,1
18772,30,0,0,0,1
18778,38,0,0,1,0
18790,32,0,1,0,0
18802,16,1,0,0,0
18807,18,1,0,0,0
18841,4,1,0,0,0
18916,1,0,0,1,0
18925,8,0,0,1,0
18933,15,0,0,1,0
18942,11,0,0,1,0
18969,8,1,0,0,0
18971,6,1,0,0,0
18982,20,0,1,0,0
18988,12,0,0,0,1
18991,9,0,0,0,1
18998,25,0,0,0,1
18999,16,0,0,0,1
19005,30,0,0,0,1
19011,12,0,0,0,1
19015,25,0,0,0,1
19016,22,0,0,0,1
19044,7,0,0,0,1
19067,18,1,0,0,0
19070,12,1,0,0,0
19240,13,0,1,0,0
19253,12,1,0,0,0
19270,1,1,0,0,0
19279,1,0,0,0,0
19346,6,0,1,0,0
19394,2,0,0,1,0
19414,2,0,0,1,0
19426,4,0,1,0,0
19430,4,1,0,0,0
19461,10,0,1,0,0
19474,8,0,0,1,0
19479,6,0,0,1,0
19507,8,0,0,0,1
19533,8,0,0,1,0
19535,4,0,1,0,0
19557,2,1,0,0,0
19895,2,0,0,1,0
19914,25,0,0,1,0
19926,15,0,0,1,0
19937,30,0,0,0,1
19961,60,0,0,0,1
19975,40,0,1,0,0
19985,15,0,1,0,0
19996,9,1,0,0,0
20174,20,0,0,1,0
20175,20,0,0,1,0
20183,8,0,0,0,1
20185,20,0,0,0,1
20191,31,0,0,1,0
20265,1,0,0,0,1
20278,9,0,0,0,1
20299,2,0,0,1,0
20302,20,1,0,0,0
20313,10,1,0,0,0
20347,3,0,1,0,0
20349,7,0,0,0,1
20351,10,0,0,0,0
20353,55,0,0,0,0
20439,1,1,0,0,0
20442,3,1,0,0,0
20451,6,1,0,0,0
20463,2,1,0,0,0
20599,1,0,0,1,0
20611,15,0,0,1,0
20620,5,0,0,1,0
20628,5,0,0,0,1
20640,15,0,0,0,1
20655,1,0,0,0,1
20663,13,0,0,0,1
20693,6,0,1,0,0
20707,11,1,0,0,0
20755,10,1,0,0,0
20763,10,1,0,0,0
20772,13,1,0,0,0
20775,10,0,1,0,0
20785,10,0,0,1,0
20793,15,0,0,1,0
20802,12,0,0,0,1
20818,20,0,0,0,1
20823,15,0,0,0,1
20828,10,0,0,0,1
20839,15,0,0,0,1
20853,12,0,0,1,0
20856,15,0,0,1,0
20869,15,0,0,1,0
20882,20,1,0,0,0
20890,15,1,0,0,0
20898,20,1,0,0,0
20907,10,1,0,0,0
20921,10,1,0,0,0
20923,10,0,0,0,1
20941,10,1,0,0,0
20953,10,1,0,0,0
21096,3,0,0,0,0
21136,60,1,0,0,0
21223,2,0,0,1,0
21242,1,0,0,1,0
21268,10,0,0,0,1
21280,120,0,0,0,1
21298,90,0,0,0,1
21314,150,0,0,0,1
21329,70,0,0,0,1
21341,110,0,0,0,1
21368,60,0,0,0,1
21379,25,0,0,0,1
21389,34,0,0,1,0
21412,20,1,0,0,0
21440,13,1,0,0,0
21847,70,1,0,0,0
21916,6,0,0,0,1
21927,15,0,0,1,0
21982,2,1,0,0,0
22019,15,0,0,0,1
22041,28,0,0,0,1
22054,42,0,0,0,1
22077,37,0,0,0,1
22084,15,0,0,0,1
22109,15,0,0,0,1
22111,60,0,0,0,1
22125,60,0,0,0,1
22138,32,0,0,1,0
22153,35,0,1,0,0
22167,60,1,0,0,0
22184,30,1,0,0,0
22207,32,1,0,0,0
22222,10,1,0,0,0
22897,1,0,0,1,0
22988,2,1,0,0,0
23128,1,0,0,1,0
23147,2,0,0,1,0
23235,1,0,1,0,0
23245,6,0,0,1,0
23260,8,0,0,1,0
23268,6,0,0,0,1
23283,23,0,0,0,1
23297,11,0,0,0,1
23311,10,0,0,0,1
23315,8,0,0,0,1
23327,6,0,0,0,1
23335,5,0,0,0,1
23347,3,0,0,0,1
23354,20,1,0,0,0
23371,2,1,0,0,0
23376,2,0,0,1,0
23396,13,0,1,0,0
23402,1,1,0,0,0
23416,60,1,0,0,0
24003,1,1,0,0,0
24007,1,1,0,0,0
24258,1,0,0,0,1
24271,2,0,0,0,1
24283,2,0,0,0,1
24298,2,0,0,0,0
24303,2,0,0,0,1
24320,2,0,1,0,0
24341,2,0,1,0,0
24358,2,0,1,0,0
25229,3,1,0,0,0
25314,9,0,0,1,0
26054,2,0,0,0,1
26108,14,0,0,0,1
26117,14,0,0,0,1
26125,26,0,0,1,0
26139,10,0,0,1,0
26145,35,1,0,0,0
26156,8,1,0,0,0
26163,10,1,0,0,0
26175,8,1,0,0,0
26322,2,0,1,0,0
26331,20,0,1,0,0
26343,2,0,1,0,0
26356,12,0,1,0,0
26373,11,0,1,0,0
26376,14,0,1,0,0
26385,6,0,1,0,0
26394,30,0,0,1,0
26406,16,0,0,1,0
26417,20,0,0,0,1
26422,42,0,0,0,0
26447,4,0,1,0,0
26454,1,0,1,0,0
26462,1,0,1,0,0
26470,3,0,1,0,0
26472,1,0,0,1,0
26575,3,0,0,1,0
26584,6,0,1,0,0
