,housing_density,count,2.0,3.0,4.0
180,1.0,0.312,0,0,0
181,2.0,0.276,1,0,0
182,3.0,0.228,0,1,0
183,4.0,0.184,0,0,1
184,1.0,0.2629757785467128,0,0,0
185,2.0,0.30103806228373703,1,0,0
186,3.0,0.29411764705882354,0,1,0
187,4.0,0.14186851211072665,0,0,1
188,1.0,0.2672811059907834,0,0,0
189,2.0,0.2764976958525346,1,0,0
190,3.0,0.30414746543778803,0,1,0
191,4.0,0.15207373271889402,0,0,1
192,1.0,0.2736318407960199,0,0,0
193,2.0,0.263681592039801,1,0,0
194,3.0,0.26865671641791045,0,1,0
195,4.0,0.19402985074626866,0,0,1
196,1.0,0.35294117647058826,0,0,0
197,2.0,0.1830065359477124,1,0,0
198,3.0,0.28104575163398693,0,1,0
199,4.0,0.1830065359477124,0,0,1
200,1.0,0.271889400921659,0,0,0
201,2.0,0.2534562211981567,1,0,0
202,3.0,0.2626728110599078,0,1,0
203,4.0,0.2119815668202765,0,0,1
204,1.0,0.2791666666666667,0,0,0
205,2.0,0.2875,1,0,0
206,3.0,0.26666666666666666,0,1,0
207,4.0,0.16666666666666666,0,0,1
208,1.0,0.3291139240506329,0,0,0
209,2.0,0.31645569620253167,1,0,0
210,3.0,0.2911392405063291,0,1,0
211,4.0,0.06329113924050633,0,0,1
212,1.0,0.265993265993266,0,0,0
213,2.0,0.26936026936026936,1,0,0
214,3.0,0.2996632996632997,0,1,0
215,4.0,0.16498316498316498,0,0,1
216,1.0,0.3368421052631579,0,0,0
217,2.0,0.26842105263157895,1,0,0
218,3.0,0.18947368421052632,0,1,0
219,4.0,0.20526315789473684,0,0,1
220,1.0,0.336322869955157,0,0,0
221,2.0,0.2825112107623318,1,0,0
222,3.0,0.23318385650224216,0,1,0
223,4.0,0.14798206278026907,0,0,1
224,1.0,0.3140495867768595,0,0,0
225,2.0,0.14049586776859505,1,0,0
226,3.0,0.2727272727272727,0,1,0
227,4.0,0.2727272727272727,0,0,1
